wait | CN: 待 | EN: Wait
SC_FAN_NAME_9 | CN: 杠上炮 | EN: Shoot after Kong
SC_FAN_NAME_10 | CN: 抢杠 | EN: Robbing the Kong
SC_FAN_NAME_11 | CN: 海底 | EN: Under the Sea
SC_FAN_NAME_12 | CN: 天和 | EN: Blessing of Heaven
SC_FAN_NAME_13 | CN: 地和 | EN: Blessing of Earth
SC_FAN_NAME_14 | CN: 门清 | EN: Concealed Hand
SC_FAN_NAME_15 | CN: 中张 | EN: All Simples
SC_FAN_NAME_16 | CN: 自摸 | EN: Self Drawn
SC_FAN_ADJ_1 | CN: 清 | EN: Pure
SC_FAN_ADJ_2 | CN: 将 | EN: General
SC_FAN_ADJ_3 | CN: 幺九 | EN: Outside
SC_FAN_ADJ_4 | CN: 七对 | EN: Seven Pairs
SC_FAN_ADJ_5 | CN: 对 | EN: Pungs
SC_FAN_ADJ_6 | CN: 龙 | EN: Dragon
SC_FAN_ADJ_7 | CN: 双 | EN: Double
SC_FAN_ADJ_8 | CN: 三 | EN: Triple
SC_FAN_ADJ_9 | CN: 十八罗汉 | EN: Eighteen Arhats
SC_FAN_unit | CN: 番 | EN: Doubles
SC_separator | CN:  | EN:  
SC_max_fan | CN: 封顶 | EN: Maximum
